last_name,first_names,url,position
Back,Ralph-Johan,http://www.abo.fi/~backrj/,
Barrett,Clark,https://theory.stanford.edu/~barrett/,
Broy,Manfred,https://www.professoren.tum.de/en/broy-manfred,
Butler,Michael,http://www.ecs.soton.ac.uk/~mjb/,
Cohen,Ernie,,
Cousot,Patrick,http://www.di.ens.fr/~cousot/,
Drossopoulou,Sophia,https://wp.doc.ic.ac.uk/sd/,Vice Chair
Farzan,Azadeh,http://www.cs.toronto.edu/~azadeh/,
Griggio,Alberto,https://es-static.fbk.eu/people/griggio/,Secretary
Hayes,Ian,https://researchers.uq.edu.au/researcher/211,
Höfner,Peter,http://hoefner-online.de,
Jackson,Daniel,http://people.csail.mit.edu/dnj/,
Jackson,Michael,https://en.wikipedia.org/wiki/Michael_Jackson_(disambiguation),
Jones,Cliff,http://homepages.cs.ncl.ac.uk/cliff.jones/,
Joshi,Rajeev,http://rjoshi.org/,Chair
Klein,Gerwin,https://www.cse.unsw.edu.au/~kleing/,
Leavens,Gary T.,https://www.cs.ucf.edu/~leavens/homepage.html,
Leino,Rustan,http://leino.science,
McIver,Annabelle,https://researchers.mq.edu.au/en/persons/annabelle-mciver,
Meinicke,Larissa,https://eecs.uq.edu.au/profile/1811/larissa-meinicke,
Meyer,Bertrand,http://www.inf.ethz.ch/~meyer/,
Misra,Jayadev,http://www.cs.utexas.edu/users/misra/,
Morgan,Carroll,http://www.cse.unsw.edu.au/~carrollm/,
Müller,Peter,https://inf.ethz.ch/people/person-detail.mueller.html,
Murray,Toby,https://people.eng.unimelb.edu.au/tobym/,
Pearce,David,http://homepages.ecs.vuw.ac.nz/~djp,
Piskac,Ruzica,http://www.cs.yale.edu/homes/piskac,
Podelski,Andreas,http://swt.informatik.uni-freiburg.de/staff/podelski,
Shankar,Natarajan,http://www.csl.sri.com/users/shankar/,
Tasiran,Serdar,https://www.tasiran.org/,
Torlak,Emina,https://emina.github.io/,
Utting,Mark,https://eecs.uq.edu.au/profile/1829/mark-utting,
Wies,Thomas,https://cs.nyu.edu/wies,
Woodcock,Jim,https://www.cs.york.ac.uk/people/jim,
Zave,Pamela,https://www.pamelazave.com/,
